object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Size in pixels,Radii of the object_0,Radii of the object_1,Total Intensity_0,Total Intensity_1,Total Intensity_2,Total Intensity_3,Center of the object_0,Center of the object_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Maximum intensity_3,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,PrincipalAxes_9,PrincipalAxes_10,PrincipalAxes_11,PrincipalAxes_12,PrincipalAxes_13,PrincipalAxes_14,PrincipalAxes_15,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Mean Intensity_3,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Minimum intensity_3,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Variance of Intensity_3,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Total Intensity in neighborhood_3,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Maximum intensity in neighborhood_3,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Mean Intensity in neighborhood_3,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Minimum intensity in neighborhood_3,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Variance of Intensity in neighborhood_3
3369,31,89,0,Label 2,0.09,0.91,523.0,9.42556,4.5745,63695.0,63695.0,63695.0,133365.0,337.35,1861.55,356.0,1870.0,319.0,1852.0,156.0,156.0,156.0,255.0,0.57735,0.408248,0.707107,0.0,0.57735,0.408248,-0.707107,0.0,0.57735,-0.816497,0.0,0.0,0.0,-0.0,0.0,1.0,0.97729,0.211906,0.211906,-0.97729,121.788,121.788,121.788,255.0,105.0,105.0,105.0,255.0,127.54,127.54,127.54,0.0,521660.0,521660.0,521660.0,1.40403e+06,161.0,161.0,161.0,255.0,94.7439,94.7439,94.7439,255.0,44.0,44.0,44.0,255.0,350.068,350.068,350.068,0.0
3370,31,90,0,Label 2,0.11,0.89,1556.0,32.4368,9.69552,181475.0,181475.0,181475.0,396780.0,268.546,1918.12,304.0,1977.0,249.0,1869.0,147.0,147.0,147.0,255.0,0.57735,0.408248,0.707107,0.0,0.57735,0.408248,-0.707107,0.0,0.57735,-0.816497,0.0,0.0,0.0,-0.0,0.0,1.0,-0.316325,-0.948651,0.948651,-0.316325,116.629,116.629,116.629,255.0,103.0,103.0,103.0,255.0,70.1356,70.1356,70.1356,0.0,1.15239e+06,1.15239e+06,1.15239e+06,2.89348e+06,255.0,255.0,255.0,255.0,101.559,101.559,101.559,255.0,44.0,44.0,44.0,255.0,608.051,608.051,608.051,0.0
3371,31,91,0,Label 1,0.5,0.5,501.0,12.8298,3.42144,57506.0,57506.0,57506.0,127755.0,506.299,1919.67,520.0,1939.0,490.0,1896.0,131.0,131.0,131.0,255.0,0.57735,0.707107,0.408248,0.0,0.57735,-0.707107,0.408248,0.0,0.57735,0.0,-0.816497,0.0,0.0,0.0,-0.0,1.0,0.61986,-0.784713,0.784713,0.61986,114.782,114.782,114.782,255.0,102.0,102.0,102.0,255.0,66.1463,66.1463,66.1463,0.0,595087.0,595087.0,595087.0,1.56264e+06,144.0,144.0,144.0,255.0,97.1095,97.1095,97.1095,255.0,87.0,87.0,87.0,255.0,73.7519,73.7519,73.7519,0.0
3372,31,92,0,Label 2,0.04,0.96,1564.0,26.3151,9.56363,206398.0,206398.0,206398.0,398820.0,413.904,1966.15,444.0,2015.0,395.0,1927.0,160.0,160.0,160.0,255.0,0.57735,0.707107,0.0,0.408248,0.57735,-0.707107,0.0,0.408248,0.57735,0.0,0.0,-0.816497,0.0,0.0,1.0,-0.0,-0.0339501,-0.999424,0.999424,-0.0339501,131.968,131.968,131.968,255.0,107.0,107.0,107.0,255.0,135.998,135.998,135.998,0.0,1.09797e+06,1.09797e+06,1.09797e+06,2.75196e+06,255.0,255.0,255.0,255.0,101.74,101.74,101.74,255.0,40.0,40.0,40.0,255.0,497.276,497.276,497.276,0.0
3373,31,93,0,Label 2,0.48,0.52,542.0,17.0981,3.27342,60992.0,60992.0,60992.0,138210.0,1177.67,1956.81,1207.0,1975.0,1157.0,1938.0,124.0,124.0,124.0,255.0,0.57735,0.707107,0.0,0.408248,0.57735,-0.707107,0.0,0.408248,0.57735,0.0,0.0,-0.816497,0.0,0.0,1.0,-0.0,0.810231,0.586111,0.586111,-0.810231,112.531,112.531,112.531,255.0,102.0,102.0,102.0,255.0,21.2527,21.2527,21.2527,0.0,657891.0,657891.0,657891.0,1.71946e+06,131.0,131.0,131.0,255.0,97.5665,97.5665,97.5665,255.0,69.0,69.0,69.0,255.0,123.365,123.365,123.365,0.0
3374,31,94,0,Label 2,0.09,0.91,1273.0,21.9653,10.3727,158584.0,158584.0,158584.0,324615.0,318.068,1979.57,356.0,2013.0,288.0,1942.0,161.0,161.0,161.0,255.0,0.57735,0.707107,0.0,0.408248,0.57735,-0.707107,0.0,0.408248,0.57735,0.0,0.0,-0.816497,0.0,0.0,1.0,-0.0,0.642418,-0.766354,0.766354,0.642418,124.575,124.575,124.575,255.0,105.0,105.0,105.0,255.0,129.894,129.894,129.894,0.0,1.10494e+06,1.10494e+06,1.10494e+06,2.42811e+06,255.0,255.0,255.0,255.0,116.041,116.041,116.041,255.0,39.0,39.0,39.0,255.0,1282.96,1282.96,1282.96,0.0
3375,31,95,0,Label 2,0.47,0.53,247.0,6.56494,3.05826,31584.0,31584.0,31584.0,62985.0,531.765,1951.6,539.0,1964.0,523.0,1942.0,144.0,144.0,144.0,255.0,0.57735,0.211325,0.0,-0.788675,0.57735,-0.788675,0.0,0.211325,0.57735,0.57735,0.0,0.57735,0.0,0.0,1.0,0.0,0.517732,-0.855543,0.855543,0.517732,127.87,127.87,127.87,255.0,112.0,112.0,112.0,255.0,58.7201,58.7201,58.7201,0.0,472386.0,472386.0,472386.0,1.18116e+06,162.0,162.0,162.0,255.0,101.983,101.983,101.983,255.0,88.0,88.0,88.0,255.0,105.838,105.838,105.838,0.0
3376,31,96,0,Label 2,0.06,0.94,1508.0,28.2504,5.95651,187339.0,187339.0,187339.0,384540.0,581.187,2004.25,597.0,2047.0,559.0,1950.0,153.0,153.0,153.0,255.0,0.57735,0.707107,0.408248,0.0,0.57735,-0.707107,0.408248,0.0,0.57735,0.0,-0.816497,0.0,0.0,0.0,-0.0,1.0,0.163376,-0.986564,0.986564,0.163376,124.23,124.23,124.23,255.0,104.0,104.0,104.0,255.0,64.7727,64.7727,64.7727,0.0,896437.0,896437.0,896437.0,2.04459e+06,192.0,192.0,192.0,255.0,111.803,111.803,111.803,255.0,70.0,70.0,70.0,255.0,678.855,678.855,678.855,0.0
3377,31,97,0,Label 2,0.42,0.58,251.0,6.74458,2.97696,28121.0,28121.0,28121.0,64005.0,1333.69,1963.32,1346.0,1970.0,1321.0,1957.0,121.0,121.0,121.0,255.0,0.57735,-0.497052,0.0,-0.64777,0.57735,0.809511,0.0,-0.106574,0.57735,-0.31246,0.0,0.754344,0.0,-0.0,1.0,0.0,0.954814,0.297206,0.297206,-0.954814,112.036,112.036,112.036,255.0,103.0,103.0,103.0,255.0,15.7158,15.7158,15.7158,0.0,420847.0,420847.0,420847.0,1.18269e+06,137.0,137.0,137.0,255.0,90.7389,90.7389,90.7389,255.0,52.0,52.0,52.0,255.0,276.073,276.073,276.073,0.0
3378,31,98,0,Label 2,0.22,0.78,457.0,8.19228,5.31025,58003.0,58003.0,58003.0,116535.0,485.028,1985.45,494.0,1998.0,471.0,1967.0,143.0,143.0,143.0,255.0,0.57735,0.707107,0.408248,0.0,0.57735,-0.707107,0.408248,0.0,0.57735,0.0,-0.816497,0.0,0.0,0.0,-0.0,1.0,-0.346875,-0.937911,0.937911,-0.346875,126.921,126.921,126.921,255.0,113.0,113.0,113.0,255.0,33.6656,33.6656,33.6656,0.0,621987.0,621987.0,621987.0,1.3844e+06,255.0,255.0,255.0,255.0,114.568,114.568,114.568,255.0,76.0,76.0,76.0,255.0,912.518,912.518,912.518,0.0
